sensitivity,cohort,exposure,block,contribution_years,dfle_gap_low_minus_high,closure_error
primary_reproduction,CHARLS,education,onset,-3.42965847665815,-6.02438705255926,7.99360577730113e-15
primary_reproduction,CHARLS,education,post_disability_mortality,-0.377345477468456,-6.02438705255926,7.99360577730113e-15
primary_reproduction,CHARLS,education,pre_disability_mortality,-0.482554389661149,-6.02438705255926,7.99360577730113e-15
primary_reproduction,CHARLS,education,recovery,-0.946923212695706,-6.02438705255926,7.99360577730113e-15
primary_reproduction,CHARLS,education,relapse,-0.787905496075795,-6.02438705255926,7.99360577730113e-15
primary_reproduction,CHARLS,wealth,onset,-2.21318727906642,-3.75592195428927,-2.22044604925031e-15
primary_reproduction,CHARLS,wealth,post_disability_mortality,-0.386064670617423,-3.75592195428927,-2.22044604925031e-15
primary_reproduction,CHARLS,wealth,pre_disability_mortality,-0.0818257016266717,-3.75592195428927,-2.22044604925031e-15
primary_reproduction,CHARLS,wealth,recovery,-0.885759853060152,-3.75592195428927,-2.22044604925031e-15
primary_reproduction,CHARLS,wealth,relapse,-0.189084449918607,-3.75592195428927,-2.22044604925031e-15
primary_reproduction,ELSA,education,onset,-1.99509584067466,-4.47060003545003,8.88178419700125e-16
primary_reproduction,ELSA,education,post_disability_mortality,-0.339414216938303,-4.47060003545003,8.88178419700125e-16
primary_reproduction,ELSA,education,pre_disability_mortality,-0.774731671626548,-4.47060003545003,8.88178419700125e-16
primary_reproduction,ELSA,education,recovery,-0.713618029837659,-4.47060003545003,8.88178419700125e-16
primary_reproduction,ELSA,education,relapse,-0.647740276372858,-4.47060003545003,8.88178419700125e-16
primary_reproduction,ELSA,wealth,onset,-2.91469928271264,-5.79732810028302,8.88178419700125e-16
primary_reproduction,ELSA,wealth,post_disability_mortality,-0.473769205886957,-5.79732810028302,8.88178419700125e-16
primary_reproduction,ELSA,wealth,pre_disability_mortality,-0.940185372261085,-5.79732810028302,8.88178419700125e-16
primary_reproduction,ELSA,wealth,recovery,-0.916159834013938,-5.79732810028302,8.88178419700125e-16
primary_reproduction,ELSA,wealth,relapse,-0.552514405408399,-5.79732810028302,8.88178419700125e-16
primary_reproduction,HRS,education,onset,-2.74259913915255,-5.48037892936703,-5.32907051820075e-15
primary_reproduction,HRS,education,post_disability_mortality,-0.137438920689443,-5.48037892936703,-5.32907051820075e-15
primary_reproduction,HRS,education,pre_disability_mortality,-1.29900380191075,-5.48037892936703,-5.32907051820075e-15
primary_reproduction,HRS,education,recovery,-0.811680355041136,-5.48037892936703,-5.32907051820075e-15
primary_reproduction,HRS,education,relapse,-0.489656712573153,-5.48037892936703,-5.32907051820075e-15
primary_reproduction,HRS,wealth,onset,-2.65925514948893,-5.75923097758296,2.66453525910038e-15
primary_reproduction,HRS,wealth,post_disability_mortality,-0.24770105315682,-5.75923097758296,2.66453525910038e-15
primary_reproduction,HRS,wealth,pre_disability_mortality,-1.60981544407172,-5.75923097758296,2.66453525910038e-15
primary_reproduction,HRS,wealth,recovery,-0.876736861635161,-5.75923097758296,2.66453525910038e-15
primary_reproduction,HRS,wealth,relapse,-0.365722469230328,-5.75923097758296,2.66453525910038e-15
primary_reproduction,MHAS,education,onset,-2.41436328648564,-3.29226152349973,-4.44089209850063e-16
primary_reproduction,MHAS,education,post_disability_mortality,-0.152760597345936,-3.29226152349973,-4.44089209850063e-16
primary_reproduction,MHAS,education,pre_disability_mortality,0.0389738716838748,-3.29226152349973,-4.44089209850063e-16
